RECID,FIRSTNAME,LASTNAME,ADDRESS,CITY,STATE,ZIP,SSN,IDTRUTH
A921197,C,REYES,9011 DIABLO RD,MADERA,CALIFORNIA,93638,10680985,6
A909439,CLINTON,REYES,4781 CLAIRE DR,OCEANSIDE,CALIFORNIA,92057,10608985,6
A966209,DIANNE,TURCOTTE,1389 DOVE CANYON WY,RANCHO CUCAMONGA,CALIFORNIA,91739,100622251,7
A914190,D,TURCOTTE,1826 FANTASY WOODS DR,HOUSTON,TFX,77094,10622215,7
A948251,BARRY,CROOK,13889 DOVE CANYON WAY,RANCHO CUCAMONGA,CALIFORNIA,91739,10623818,8
A910547,BARRY,CROOK,1342 W 35TH ST,LOS ANGELES,CALIFORNIA,90007,10628318,8
A931685,GALDYS,BARAONA,25200 SANTA CLARA ST,HAYWARD,CLIF,94544,10652417,9
A921897,GLADYS,BARAONA,1111 SHAWNEE S,HOUSTON,TEXAS,77034,1625417,9
A934202,MICHAEL,DANIELS,375 ARBUCKLE BRANCH RD,SEBRING,FLORIDA,33870,10641563,10
A929987,MICHAEL,DANIELS,9426 NW 2ND,MIAI SHORES,FLORIDA,33150,10641563,10
A925523,MICHAEL,DANIELS,9426 NW 2ND PLACE,MIAMI SHORES,FLORIDA,33150,,10
A925340,MICHAEL,DAINELS,9426 NW 2ND PL,MIAMI SHORES,FLORIDA,33150,10641563,10
A945431,TERESITA,RYO,7021 WESTBURY DR,AMARILLO,TEXAS,79109,10643883,11
A942867,T,VENTURA,14955 AVENIDA VENUSO,SAN DIEGO,CALIFORNIA,92128,10643883,11
A931477,TERESITA,VENTURA,7021 WESTBURY DR,AMARILLO,TEXAS,79109,10643883,11
A993595,C,BRIAN,43 WARREN DR,LITTLE ROCK,ARKANSAS,72209,10651438,12
A974138,BRYANT,ROY,43 WARREN DR,LITTLE ROCK,ARKANSAS,72209,10651483,12
A965184,BRYANT,ROY,7508Q TAXCO DR,EL PASO,TEXAS,79915,,12
A958592,BRYANT,ROY,43 WARREN DR,LITTLE ROCK,ARKANSAS,72209,10651483,12
A919450,C,ROY,2507 S J ST,ROGERS,ARKANSAS,72758,10651483,12
A961997,KHANTONG,RAMIREZ,1760 E COMMONWEALTH AVE,FULLERTON,CALIFORNA,92831,10703699,14
A950269,KHANTONG,RAMIREZ,340 S ST AINDREWS PL,LOS ANGELES,CALIFORNIA,90020,,14
A930345,KHANTONG,RAMIREZ,22150 STAGG ST,CANOGA PARK,CALIFORNIA,91304,,14
A919072,KHANTONG,ARMIREZ,22150 STAGG ST,CANOGA PARK,CALIFORNIA,91304,10703699,14
A962836,DAYLE,BONSAL,3937 GIBURALTAR AVE,LOS ANGELES,CALI,90008,,15
A919968,DAYLE,BONSAL,3937 GSIBRALTAR AVE,LOS ANGELES,CALIFORNIA,90008,10705862,15
A919733,DAYLE,BONSAL,3937 GIBRALTAR AVE,LUOS ANGELES,CALIFORNIA,90008,,15
A911379,DAYLE,BONSAL,11903 LAUREL AVE,WHITTIER,CALIFORNIA,90605,,15
A987908,PATRICIA,TENISON,4338 AGNES AVE,LYNWOOD,CALIFORNIA,90262,10716367,16
A934347,PATIRCIA,TENISON,4338 AGNES AVE,LYNWOOD,CALIFORNIA,90262,10716367,16
A932311,PATRICIA,TENIOSN,820 W LINCOLN WAYK,GALT,CALIFORNIA,95632,10716367,16
A930304,PATRICIA,TENISON,12724 MERCER ST,PACOIMA,CALIFORNIA,9331,10716367,16
A914964,PATRICIA,TENSION,820 W LINCOLN WAY,GALT,C,95632,10761367,16
A913272,TRIXIE,TENISON,820 W LINCOLN WAY,GALT,CALIFORNIA,95632,10716367,16
A958444,DONALD,HUNTER,613 CAPITOL ST,VALLEJO,CALIFORNIA,94590,100716464,17
A955230,DONALD,HUNTER,613 CAPITOL ST,VALLEJO,CALIFORNIA,94590,10716464,17
A954893,DONALD,H,426 MOORELAND ST,EL PASO,TEXAS,79907,,17
A953220,DONALD,HUNTER,613 CAPITOL ST,VALLEJO,CALIFORNIA,94590,1716464,17
A952310,DONALD,HUNTER,426 MOOREAND ST,EL PZASO,TEXAS,79907,10716464,17
A936040,,HUNTER,426 MOORELAND ST,EL PASO,TEXAS,79907,10716644,17
A978841,ROSLAIA,TARGOWSKI,637 ALAMO CT,OAKDALE,CALIFORNIA,95361,10720797,18
A975778,ROSALIA,TARGXOWSKI,7308 DE SOTO AVE,CANOGA PARK,CALIFORNIA,91303,10720797,18
A958632,ROSALIA,TARGOWSKI,1900 POST RD,MELBOURNE,FLORIDA,32935,,18
A956877,RSOALIA,TARGOWSKI,7308 DE SOTO AVE,CANOGA PARK,CALIFORNIA,91303,10727097,18
A951129,ROSALIA,TARGOWSKI,637 ALAMO CT,OAKDALE,CALIFORNIA,5361,10720797,18
A945707,ROSALIA,TAROGWSKI,7308 DE SOTO AVE,CANOGA PARK,CALIFORNIA,91303,,18
A917347,R,TARGOWSKI,2672 MACGREGOR OURT,MODESTO,CALIFORNIA,95350,10720977,18
A906334,ROSALIA,TARGOWSIK,637 ALAMO,OAKDALE,C,95361,10720797,18
A989172,MARK,GONZALES,1900 POST RD,MELBOYURNE,FLORIDA,32935,,19
A985872,MARK,GONZALES,11494 HUNTINGTON VILLAGE LANE,GOLD RIVER,CALIFORNIA,95670,10730206,19
A983420,MARK,GONZALES,11494 HUNTINGTON VILLAGE LN,GOLD RIVER,CALIFORNIA,95670,100730206,19
A973515,MARK,GONZALES,VILLAGE LANE,GOLD RIVER,CALIFORNA,95670,1730206,19
A935914,MARK,GONZALES,1900 POST RD,MELBOURNE E32935,FLORIDA,,10730026,19
A933977,MARK,GONZAELS,1900 POST RD,MELBOURNE 3W2935,FLORIDA,,10730206,19
A942416,M,ZUCCARELLO,14 RIVER RD,STUTTGART,ARKANSAS,72160,10748283,21
A931262,ROSA,GARRETT,1202 OLGA MAPULA DR,EL PASO,TEXAS,79936,10750565,22
A916614,ROSA,GARRETT,3754 ARLINGTON CIR,PITTSBURG,CALIFORNIA,94565,,22
A915147,ROSA,GARRETT,3754 ARLINGTON CIR,PITTSBURG,CALIFORNIA,94565,10750556,22
A992920,DANK,WAR,2747 COUNTY ROAD 425,JONESBORO,ARO,72404,17060378,23
A984241,DANIEL,WAR,1905 N HIGHWAY A1A,IRNDIALANTIC,FLORIDA,32903,,23
A973001,DANIEL,WAR,3308 BUNKER HIL DR,NORTH LITTLE ROCK,ARKANSAS,72116,,23
A954485,DANIEL,WAR,6825 HENDRY DR,LAKE WORTH 3346E3,FLORIDA,,,23
A946788,DANNY,AWR,2747 COUNTY RD,JONESBORO 724U04,ARKANSAS,,10760387,23
A980433,MELCHOR,ESPARZA,644 MCKINLEY CT,KISSIMMEE,FLORIDA,34758,10774429,24
A929529,,ESPARZA,1102 SPRING LITE WAY,ORLOANDO,FLORIDA,32825,10747429,24
A921791,E,MELCHOR,644 MCKINLEY CT,KLISSIMMEE,FLORIDA,34758,10774429,24
A916652,M,ESPARZA,644 JMCKINLEY CT,KISSIMMEE,FLORIDA,34758,10774492,24
A998191,DEE,BLANKENSHIP,783 BRIDGESTONE TER,JACKSONVILLE,FLORIDA,32216,10779005,25
A966950,DOROTHY,CAPETILLO,3465 PLANTATION DR,SARASOTA,Y FL,34231,10779005,25
A938252,DOROTHY,BLANKESHIP,2517 VINSON AVE,SARASOTA,FLORIDA,34232,10779005,25
A990098,JEFF,CAPETILLO,3465 PLANTATION DR,SARASOTA,FLORIDA,34231,10782449,26
A967741,,CAPETILLO,1408W PELTON AVE,MODESTO,CALIFORNIA,95351,17082449,26
A996590,RONALD,OLIVER,110 BOWEN RD,LONOKE,ARKANSAS,72086,10788815,27
A987083,I,OLIVER,2115 FAIR PARK BLVD,LITTLE ROCK,ARKANSAS,72204,100788815,27
A951564,VERONICA,OLIVER,15662 HIGHWAY 9 N,MAMMOTH SRING,ARKANSAS,72554,,27
A930576,VERONICA,OILVER,75 LAKEVIEW DR,CAVE CITY,ARKANSAS,72521,10788815,27
A919949,RONNIE,OLIVER,15662 HIGHWAY9 N,MAMMOTH SPRING,ARKANSAS,72554,10788815,27
A986267,E,AYALA,11120 COLLEGE AVE,MONTCLAIR,CALIFORNIA,91763,,28
A951553,J,B,11120 COLLEGE ANUE,MONTCLAIR,CALIFORNIA,91763,10796379,28
A946441,ELVIA,AYALA,11120 COLLEGE AVE,MONTCLAIR,CALIFORNIA,91763,10796379,28
A946182,ELVIA,AYALA,4620 ALGER ST,LOS ANGELES,CALIFORNIA,90039,10796379,28
A945781,ELVIA,AYALA,58W02 SEACOMBER PL,SAN ANTONIO,TEXAS,78242,10796379,28
A944197,ELVIA,AYALA,136 CREEKVIEW DR,VALLEJO,CALIFORNIA,94591,,28
A939758,E,AYALA,1010 PALM DESERT DR,GARLAND,TEXAS,75044,10796379,28
A933468,ELVIA,AYALA,1010 PALM DESERT DR,GARLAND,TEXAS,75044,10796379,28
A919380,ELVIA,APYALA,1010 PAM DESERT DR,GARLAND,TEXAS,75044,10796379,28
A942004,A,MATTHEW,4620 ALGER ST,LOS ANGELES,CALIFORNIA,90039,10814853,29
A907735,A,BRYAT,4714 RUMBLING CANYON CT,KATY,TEXAS,77449,10814853,29
A905129,MATTHEW,BRYANT,4714S RUMBLING CANYON CT,KATY,TEXAS,77449,10184853,29
A967887,CECILIA,OSORIO,955 DOTTEREL RD,DELRAY BEACH,FLORIDA,33444,10817820,30
A954497,CECILIA,OSORIO,955 DOTTTEREL RD,DELRAY BEACHG,FLORIDA,33444,10817802,30
A949183,CECILIA,OSORIO,523 S FRANCISCA AVE,REDONDO BEACH 90277K,CALIFORNIA,,,30
A945278,CELIA,OSORIO,1807 SCOTTSDALE DR,ARLINGTON,TEXAS,76018,10817820,30
A916823,CECILIA,OSORIO,8000 HIDDEN BROOK DR,FORT WORTH,TEXAS,76120,10817802,30
A913800,CECILIA,BAPTISTE,955 DOTTEREL RD,DELRAY BEACH,FLORIDA,33444,10817802,30
A910648,CELIA,OSORIO,1807 SCOTTSDALE DR,ARLINGTON,TEXAS,76018,,30
A994812,RALPH,BAPTISTE,955 DOTTEREL RD,DELRAY BEACH,FLORIDA,33444,1822095,31
A983821,RALPH,BAPTISTE,400 VALENCIA DR,MAUMELLE,ARKANSAS,72113,,31
A957516,RALPH,BAPTISTE,400 VALENCIA DR,MAUMELLE,ARKANSAS,72113,10822095,31
A955686,RALPH,BAPTISTE,6625 17TH ST S,SAINT PETERSBURG,FLORIDA,33712,,31
A951455,RALPH,BAPTISTE,955 DOTTEREL RD,DELRAY BEACH F,,33444,,31
A933671,RALPH,BAPTISTE,8290 VALLE PLACIDO DR,EL PASO,TEXAS,79907,10822095,31
A923290,RALPH,BAPTISTE,12614 ARROWHEAD CIRC,LAREDO,TEXAS,78045,10822095,31
A919294,RALPH,BAPTISTE,38125 TIMBFERLANE DR,UMATILLA,FLORIDA,32784,10822095,31
A919269,RALPH,BAPTISTE,12614 ARROWHEAD CIR,LAREDO,TEXAS,7804,,31
A918138,RALPH,BAPTISTE,152 QUAPAW DR,BRYANT,ARKANSAS,72022,10822095,31
A915912,RALPH,BAPTISTE,400 VALENCIA DR,MAUMELLE,ARKANSAS,72113,10822095,31
A991652,BELEN,LEWIS,418 SE DOAT ST,PORT SAINT LUCIE,FLORIDA,34983,10840660,32
A984597,BELEN,HORTON,1577 POMEROY AVE,SANTAB CLARA,CALIFORNIA,95051,10840660,32
A950359,BELEN,LEWIS,1577 POMEOY AVE,SANTA CLARA,CALIFORNIA,95051,10840606,32
A935496,BELEN,LEWIS,1577 POMEROY AVE,SANTA CLARA,CALIFORNIA,95051,,32
A912274,B,LEWIS,1508 SAN ANTONIO AVE,MENLO PARK,CALIFORNIA,94025,10840660,32
A981463,EARL,HORTON,4574 N HTAZEL AVE,FRESNO,CALIFORNIA,93722,18048702,33
A911664,EARL,HORTON,4574 N HAZEL AVE,FRESNO,CALIFORNIA,93722,10848702,33
A928742,SLAVADOR,CAPPS,24311 GRASS ST,AKE FOREST,CALIFORNIA,92630,10850038,34
A985507,EVERARDO,NAVARRO,710 N GENESEE AVE,LS ANGELES,CALIFORNIA,90046,10852785,35
A965079,MARTHA,AMPEREZ,108 E CHURCH ST,GAINESVILLE,TEXAS,76240,,36
A954699,MART,COLLINS,108 E CHURCH,GAINESVILLE,TEXAS,76240,10890760,36
A949033,MARTHA,COLLINS,108 ECHURCH ST,GAINESVILLE,TEXAS,76240,10890760,36
A943895,MARTHA,COLLINS,1319 10TH AVE,SAN FRANCISCO,CALIFORNIA,94122,,36
A941560,MARTHA,AMPEREZ,218 W SILVER SANDS DR,SAN ANTONIO,TEXAS,78216,,36
A915811,MARTHA,COLLINS,218 W SILVER SANDS DR,SAN ANTONIO,TEXAS,78216,10890760,36
A964112,FRANCIS,AMPEREZ,3937 LUKE LN,CARROLLTON,TEXAS,75007,,37
A951655,FRANK,AMPEREZ,108 E CHURCH ST,GAINESVILLE,TEXAS,76240,10894193,37
A938763,FRANCIS,AMPEREZ,9221 SW 149TH CT,MIAMI,FLORIDA,33196,10894193,37
A928605,FRANCIS,AMPEREZ,108 E CHURCH ST,GAINESVILLE,TEXAS,76240,10894193,37
A912446,FRANCIS,AMPEREZ,1161 SW ESTAUH AVE,PORT SAINT LUCIE,FLORIDA,34953,10894193,37
A993869,LUCIA,WILSON,503 BEAVERS ST,WARREN,ARKAN,71671,10896980,38
A973232,LUCIA,WILSON,6009 MADISON COUNTY ROAD,HUNTSVIPLLE,ARKAN,72740,10896980,38
A971069,LUCIA,WILSON,20672 SOUTHWOOD OAKS DR,PORTE,TEXAS,77365,1896980,38
A966807,LUCIA,WILSON,12006 MOUNTAIN RIDGE RD,HOUSTON,TEXAS,77043,10896980,38
A960175,LUCIA,OSTER,T20672 SOUTHWOOD OAKS DR,PORTER,TEXAS,77365,10896980,38
A954327,LUCY,WILSON,1I500 MAGRUDER ST,EL PASO,TEXAS,79925,10896980,38
A932865,R,FOSTER,20672 SOUTHWOOD OAJKS DR,PORTER,TEXAS,77365,10896980,38
A992644,ALBERT,FOTSER,12006 MOUNTAIN RIDGE RD,HOUSTON,TEXAS,77043,10906278,39
A968130,BIRD,FOSTER,20672 SOUTHWOOD OAKS DR,PORTER,TEXAS,77365,10906287,39
A953658,ALBERT,FOSTER,2062 SOUTHWOOD OAKS DR,PORTER,TEXAS,77365,10906278,39
A925863,ALBERT,FOSTER,1500 MAGRUDER ST,EL PASO,TEXAS,79925,1906278,39
A921686,ALBETR,FOSTER,5716 CEDAR GLEN LANE,BAKERSFIELD,CALIFORNIA,93313,,39
A918787,ALBERT,FOSTER,20672 SOUTHWOOD OAKS DR,PORTER,TEXAS,77365,,39
A978629,COREY,WADDELL,541 SOUTHEASRT 4TH ST,HIALEAH,FLORIDA,33010,10910793,40
A970526,C,WADDELL,869 SHOSHONE LN,MELBOURNE,FLORIDA,32904,10910793,40
A949419,COREY,WADDELL,869 SHOSHONE LN,MELBOURNE,FLORIDA,32904,10190793,40
A973956,CANDACE,QUILES,1475 W 46TH ST,HIALEAH,FLWORIDA,33012,10935242,41
A956011,CANDY,QUILES,17825 SW 1ST ST,PEMBROKE PINES,FLORIDA,33029,10935422,41
A950907,CANDACE,QUILES,98 BIRCH AVE,ORANGE CITY,FLORIDA,32763,10395422,41
A938166,CANDACE,QUILES,821 E 116TH PL,LOS ANGELES,CALIFORNIA,90059,10935422,41
A934693,DACEY,QUILES,1894 HARTFORD ST,SALINAS Z,CALIFORNIA,93906,10935422,41
A925777,CANDACE,QUILES,1894 HARTAFORD ST,SALINAS,CALIFORNIA,93906,,41
A918704,CANDACE,QUILES,17825 SW 1ST ST,PEMBROKE PINES,FLORIDA,33029,,41
A916657,CANDACE,QUILES,1475 W 46TH ST,HIAEAH,FLORIDA,33012,10935422,41
A904736,CANDACE,QUILES,1475 W 4TH ST,HIALEAH Y33012,FLORIDA,,10935422,41
A997290,FRANCISCO,URBANSKI,10808 FOOTHILL BLVD,RANCHO CUCAMONGSA,CALIFORNIA,91730,,42
A992480,FRANCISCO,URBANSKI,1894 HARTFORD ST,SALINAS,CALIFORNIA,93906,10946665,42
A969999,F,URBANKSI,1894 HARTFORD ST,SALINAS,CALIFORNIA,93906,10496656,42
A967414,FRANCISCO,URBANSKI,1894 HARTFOR ST,SALINAS,CALIFORNIA,93906,10946656,42
A927802,FRANCISCO,URBANSI,10808 FOOTHILL BLVD,RANCHO CUCAMONGA,CALI91730,,,42
A923672,FRANCISCO,URBANSKI,10808 FOOTHILL BLVD,RANCHO CUCAMONGA,CALIFORNIA,1730,10946656,42
A966679,GRACIELA,ALBRIGHT,1210 VENICE BLVD,VENICE,CALIFORNIA,90291,10948189,43
A964503,A,A,2512 DARTMOUTH CT,BEDFORD,TEXAS,76022,10948189,43
A956581,GRACIELA,ALBRIGHT,2512 DARTMOUTH CT,BEDFORD,TEXAS,76022,19048189,43
A948312,A,HOANG,1210 VENIICE BLVD,VENICE,CALIFORNIA,90291,,43
A948020,GRACIELA,HOANG,1210 VENICE BLVD,VENICE,CALI,90291,,43
A990775,JUAN,HOANG,1210 VENICE BLVD,VENICE,CALIFORNIA,90291,10949776,44
A959018,JUAN,HOANG,2920 POINT E,AVENTURA,FLORIDA,33160,,44
A939834,JUNA,H,1210 VENICCE BLVD,VENICE,CALIFORNIA,90291,,44
A915657,JUAN,HOAGN,Z2920 POINT EAST DR,AVENTURA,FLORIDA,33160,,44
A985927,DONNA,HOCK,7474 BOTANICA PARKWAY,SARASOTA,FLORIDA,34238,19064979,45
A953110,D,HOCK,6268 BELYL ST,VENTURA,CALIFORNIA,93003,10964799,45
A922420,DONNA,HOCK,930 N 32ND AVE,HOLLYWOOD,FLORIDA,33021,10964997,45
A997754,JULIAN,TARCY,681 W RENETTE VENUE,EL CAJON Z92020,CALIFORNIA,,10966971,46
A991050,JULIAN,TRACY,15313 MAUNA LOA ST,HESPERIA,CALIFORNIA,92345,10966971,46
A966759,WYNNETH,GOODWNI,1680 INGS CT,TITUSVILLE,FLORIDA,32780,10984224,47
A963853,WYNNETH,GOODWIN,2277 N FORSYTH RD,ORLANDO 32M807,FLORIDA,,,47
A908338,WYNNETH,GOODWIN,5445 LSANDRA DR,TITUSVILLE,FLORIDA,32780,10984224,47
A987545,PEARLETHA,GRYA,208 BELLINGHAM CT,LINCOLN,CALIFORNIA,95648,11011836,48
A960821,PEARLETHA,GRAY,208 BELLINGHAM CT,LINCOLN,CALIFORNIA,95648,11011836,48
A958194,PEARLETHA,GAY,740 BROADWAY,SAN FRANCISCO,CALIFORNIA,94133,11011836,48
A915089,PEARLETHA,GRAY,740 BROADWAY,SAN FRANCISCO,CALIFORNIA,94133,11011836,48
A906528,PEARLETHA,GRAY,4800 TIFFANY WAY,FAIR OAKS,CALIFORNIA,95628,11011836,48
A939702,JANET,GUEVARRA,1603 ARMIJO CT,FAIRFIELD,CEALIF,94534,11022630,49
A914678,JANET,GUEVARRA,2100 PLEASANT HILLRD,KISIMMEE,FLORIDA,34746,11022360,49
A996906,A,DOWNS,1458 VISCAYA DR,PORT CHARLOTTE,FLORIDA,33952,11032357,50
A994774,JESUS,DOWNS,2706 18TH ST W,LEHIGH ACRES,FLORIDA,33971,,50
A955379,JESUS,DOWNS,2706 18TH ST W,LEHIGH ACRES K33971,FLORIDA,,11032357,50
A942088,J,DOWNS,15471 SW 36TH TER,MIAMI,FLORIDA,33185,,50
A928635,J,DOWNS,270618TH ST,LEHIGHB ACRES,FLORIDA,33971,,50
A922215,JESUS,DOWNS,2100 PLEASANT HILL RD,KISSIMMEE,FTL,34746,11032375,50
A974658,MARCELINA,SCHMOLDT,4748 MOY CT,ORLANBDO,FLORIDA,32811,11051119,51
A970844,MARCELINA,SCHMOLDT,908 WENDY HOPE DR,GIALT,CALIFORNIA,95632,11051191,51
A953009,M,SCHMOLDT,98 WENDY HOPE DR,GALT,CALIFORNIA,95632,11051119,51
A952273,MARCELINA,SCHMOLDT,4616 IRVING ST,SAN RANCISCO,CALIFORNIA,94122,11051119,51
A910826,MARCELINA,SCHMOLDT,4616 RVING ST,SAN FRANCISCO,CALIFORNIA,94122,11051119,51
A997252,J,JACKSON,4748 AMOY CT,ORLANDO,FLORIDA,32811,11061768,52
A992435,JAMES,JACKSNO,703 WASHINGTON ST,NEW SMYRNA BEACH,FLORIDA,32168,11061768,52
A981025,JAMIE,AJCKSON,6537 BONNER AVE,NORTH HOLLYWOOD,CALIFORNIA,91606,11061768,52
A952231,JAMES,JACKSON,703 WASHINGTON ST,NEW SMYRNA BEACH,FLORIDA,32168,,52
A929832,JAMES,JACKSON,6537 BONNER AVE,NORTH HOLLYWOOD,CALIFORNIA,91606,11067168,52
A925734,JIM,JACKSON,A26647 9TH ST,HIGHLAND,CALIFORNIA,92346,11061768,52
A920884,BUFORD,JACKSON,6537 BONNER AVE,NORTH HOLLYWOOD,CALIFORNIA,91606,11061768,52
A919368,JAMIE,JACKSON,26647 9TH ST,HIGHLAND 923H46,CALIFORNIA,,,52
A917220,JIM,JACKSON,703 WASHINGTON ST,NEW SMYRNA BEACH,FLORIDA,32168,11067168,52
A994881,LANSANA,WILLIAMS,10312 PARISE DR,WHITTIER,CALIFORNIA,90604,11067730,53
A993239,LANSANA,WILLIAMS,3441 MAYFAIR DR,SACRAMENTO,CALIFORNIA,95864,11076730,53
A981629,LANSANA,WILLIAMS,1900 EMERALD LN,GARDENA,CALIFORNIA,90247,11076703,53
A953034,LANSANA,WILLIASM,6051 FGREENRIDGE RD,CASTRO VALLEY,CALIFORNIA,9552,11076730,53
A985310,ISABEL,FAUCETTE,1E228 HILLSBORO MILE,HILLSBORO BEACH,FLORIDA,33062,11079371,54
A964400,A,FARRELLY,1228 HILLSBORO MILE,HILLSBORO BEACH,FLORIDA,33062,11079731,54
A926283,ISABEL,FAUCETTE,1228 HILLSBORO MILE,HILLSBORO BEACH,FLORIDA,33062,11079731,54
A974585,RICHARD,FARRELLY,228 E 8TH ST,SAN JUAN,TEXAS,78589,11084864,55
A953163,J,FARRELLY,1228 HILLSBORO MILE AVPT,HILLSBORO BEACH,FLORIDA,3062,11084864,55
A935397,RICHARD,FARRELLY,1228 HILLSBORO MILE,HILLSBOO BEACH,FLORIDA,33062,11084864,55
A933990,J,RICHARD,1228 HILLSBORO MILE,HILLSBORO BEACH L,,33062,11084864,55
A979741,HANEEF,RIVERA,9914 BUENA ISTA AVE,SANTEE,ALIF,92071,11096652,56
A967036,HANEEF,RIVERA,9914 BUENA VISTA AVE,SANTEE,CALIFONIA,92071,,56
A945507,HNAEEF,RIVEA,9914 BUENA,SSANTEE,CALIFORNIA,92071,,56
A914566,HAENEF,RIVERA,24 WENTWRTH PL,SAN FRANCISCO,CALIFORNIA,94108,11096652,56
A996576,M,STACEY,5 DONNA WAY,MISSION HILLS,CALIFORNIA,91345,,57
A973266,STACEY,HAMILTON,5 DONNA WAY,MISSION HILLS,CALIFORNIA,91345,11103308,57
A969902,STACEY,HAMLITON,5 DONNA WAY,MISSION HILLS,CALIFORNIA,91345,11103308,57
A988908,HECTOR,S,1U1481 TWIN HILLS AVE,NORTHRIDGE,CALIFORNIA,91326,11103641,58
A962610,HECTOR,SCHOONOVER,11481 TWIN HLLS AVE,NORTHRIDGE,CAGLIFORNIA,91326,11103641,58
A928901,HECTOR,SCHOONOVER,10021 BEXLEY DR,SACRAMENTO,CALIFORNIA,95827,11103641,58
A925655,HECTOR,SCHOONOVER,11481 TWIN HILLS AVE,NORTHRIDGE,CALIFORNIA,91326,,58
A998189,LYNDA,ANDERSON,10319 BLACK WAFLNUT DR,DALLAS,TEXAS,75243,11106327,59
A995947,L,ANDERSON,5137 JM BROWNING SHTRT,EL PASO,TEXAS,79938,,59
A986272,LYNDA,ANDERSON,5137 JM BROWNING ST,EL PASO,TEXS,79938,,59
A961509,LYNDA,ANDERSON,413 SUNSET HILLS DR,EL PASO,TEXAS,79928,,59
A955918,LYNDA,ANDERSON,22 MAPLE BRANCH ST,SPRING,TEXAS,77380,11106327,59
A955614,LYNDA,ANDERSNO,22 MAPLE BRANCH ST,SPRING,TEXAS,77380,,59
A945410,L,ANDERSON,1111 NIKKI LN,STAFFORD,TEXAS,77477,,59
